1 ano;;
Date;PX_LAST;YLD_CNV_LAST
30/06/2010;11,95;11,95
30/07/2010;11,19;11,19
31/08/2010;11,06;11,06
30/09/2010;11,13;11,13
29/10/2010;11,27;11,27
30/11/2010;11,98;11,98
31/12/2010;11,95;11,95
31/01/2011;12,45;12,45
28/02/2011;12,52;12,52
31/03/2011;12,22;12,22
29/04/2011;12,54;12,54
31/05/2011;12,49;12,49
30/06/2011;12,60;12,60
29/07/2011;12,64;12,64
31/08/2011;11,40;11,40
30/09/2011;10,51;10,51
31/10/2011;10,43;10,43
30/11/2011;9,80;9,80
30/12/2011;10,14;10,14
31/01/2012;9,60;9,60
29/02/2012;9,36;9,36
30/03/2012;9,06;9,06
30/04/2012;8,38;8,38
31/05/2012;8,06;8,06
29/06/2012;7,63;7,63
31/07/2012;7,64;7,64
31/08/2012;7,42;7,42
28/09/2012;7,37;7,37
31/10/2012;7,39;7,39
30/11/2012;7,22;7,22
31/12/2012;7,16;7,16
31/01/2013;7,26;7,26
28/02/2013;7,78;7,78
29/03/2013;7,80;7,80
30/04/2013;7,99;7,99
31/05/2013;8,55;8,55
28/06/2013;8,98;8,98
31/07/2013;9,33;9,33
30/08/2013;10,16;10,16
30/09/2013;9,96;9,96
31/10/2013;10,35;10,35
29/11/2013;10,40;10,40
31/12/2013;10,66;10,66
31/01/2014;11,79;11,79
28/02/2014;11,41;11,41
31/03/2014;11,47;11,48
30/04/2014;11,33;11,33
30/05/2014;11,09;11,09
30/06/2014;11,00;11,00
31/07/2014;11,00;11,00
29/08/2014;11,24;11,24
30/09/2014;11,89;11,89
31/10/2014;12,20;12,20
28/11/2014;12,46;12,46
31/12/2014;12,96;12,96
30/01/2015;12,79;12,79
27/02/2015;13,06;13,06
31/03/2015;13,49;13,49
30/04/2015;13,71;13,71
29/05/2015;13,85;13,85
30/06/2015;14,33;14,33
31/07/2015;14,01;14,01
31/08/2015;14,39;14,39
30/09/2015;15,47;15,47
30/10/2015;15,30;15,30
30/11/2015;15,51;15,51
31/12/2015;15,64;15,64
29/01/2016;14,60;14,60
29/02/2016;14,19;14,19
31/03/2016;13,69;13,69
29/04/2016;13,32;13,32
31/05/2016;13,38;13,38
30/06/2016;13,62;13,62
29/07/2016;13,07;13,07
31/08/2016;13,02;13,02
30/09/2016;12,50;12,50
31/10/2016;12,55;12,55
30/11/2016;12,38;12,38
30/12/2016;11,49;11,49
31/01/2017;10,83;10,83
28/02/2017;10,27;10,27
31/03/2017;9,67;9,68
28/04/2017;9,32;9,32
31/05/2017;9,14;9,14
30/06/2017;8,73;8,73
31/07/2017;7,96;7,96
31/08/2017;7,53;7,53
29/09/2017;7,12;7,12
31/10/2017;7,07;7,07
30/11/2017;6,87;6,87
29/12/2017;6,82;6,82
31/01/2018;6,76;6,76
28/02/2018;6,55;6,55
30/03/2018;6,19;6,19
30/04/2018;6,29;6,29
31/05/2018;7,00;7,00
29/06/2018;7,59;7,59
31/07/2018;7,22;7,22
31/08/2018;7,87;7,87
28/09/2018;7,92;7,92
31/10/2018;6,91;6,91
30/11/2018;6,79;6,79
31/12/2018;6,94;6,94
31/01/2019;6,63;6,63
28/02/2019;6,78;6,78
29/03/2019;6,61;6,61
30/04/2019;6,55;6,55
31/05/2019;6,21;6,21
28/06/2019;5,81;5,81
31/07/2019;5,43;5,43
30/08/2019;5,34;5,34
30/09/2019;4,86;4,86
31/10/2019;4,46;4,46
29/11/2019;4,57;4,57
31/12/2019;4,42;4,42
31/01/2020;4,52;4,52
28/02/2020;4,15;4,15
31/03/2020;3,41;3,41
30/04/2020;2,93;2,93
29/05/2020;2,41;2,41
30/06/2020;2,69;2,69
31/07/2020;2,51;2,51
31/08/2020;2,67;2,67
30/09/2020;2,83;2,83
30/10/2020;3,11;3,11
30/11/2020;3,01;3,01
31/12/2020;3,37;3,37
29/01/2021;3,88;3,88
26/02/2021;4,38;4,38
31/03/2021;5,18;5,18
30/04/2021;5,23;5,23
31/05/2021;5,69;5,69
30/06/2021;6,68;6,68
30/07/2021;7,44;7,44
31/08/2021;8,04;8,04
29/10/2021;12,03;12,03
30/11/2021;11,62;11,62
31/12/2021;11,80;11,80
31/01/2022;12,28;12,28
28/02/2022;12,48;12,48
31/03/2022;12,75;12,75
29/04/2022;13,06;13,06
31/05/2022;13,41;13,41
30/06/2022;13,78;13,78
29/07/2022;13,82;13,82
31/08/2022;13,37;13,37
30/09/2022;13,17;13,17
